family,n,m,alg,opt,ratio
gnp,12,10,7,7,1.000000
gnp,15,74,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,10,24,3,3,1.000000
gnp,7,1,6,6,1.000000
gnp,8,12,4,4,1.000000
gnp,14,37,5,5,1.000000
gnp,7,12,3,3,1.000000
gnp,16,77,4,4,1.000000
gnp,10,19,5,5,1.000000
gnp,12,47,3,3,1.000000
gnp,9,19,4,4,1.000000
gnp,12,27,5,5,1.000000
gnp,7,10,3,3,1.000000
gnp,11,39,3,3,1.000000
gnp,6,5,3,3,1.000000
gnp,15,65,3,3,1.000000
gnp,8,17,3,3,1.000000
gnp,11,15,5,5,1.000000
gnp,13,56,4,4,1.000000
gnp,9,21,3,3,1.000000
gnp,12,9,9,9,1.000000
gnp,12,31,4,4,1.000000
gnp,13,59,3,3,1.000000
gnp,14,70,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,7,10,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,16,106,3,3,1.000000
gnp,13,54,3,3,1.000000
gnp,11,37,3,3,1.000000
gnp,16,31,7,7,1.000000
gnp,16,82,4,4,1.000000
gnp,11,32,3,3,1.000000
gnp,14,22,6,6,1.000000
gnp,9,23,3,3,1.000000
gnp,9,25,3,3,1.000000
gnp,7,15,2,2,1.000000
gnp,13,21,6,6,1.000000
gnp,6,1,5,5,1.000000
gnp,10,24,3,3,1.000000
gnp,8,11,4,4,1.000000
gnp,15,71,4,4,1.000000
gnp,8,6,4,4,1.000000
gnp,15,71,4,4,1.000000
gnp,15,29,6,7,1.166667
gnp,16,43,6,6,1.000000
gnp,16,16,10,10,1.000000
gnp,10,31,3,3,1.000000
gnp,7,3,4,4,1.000000
gnp,15,43,5,5,1.000000
gnp,10,24,3,3,1.000000
gnp,9,29,2,2,1.000000
gnp,7,5,4,4,1.000000
gnp,15,36,6,6,1.000000
gnp,6,14,2,2,1.000000
gnp,10,5,8,8,1.000000
gnp,15,78,3,3,1.000000
gnp,9,18,5,5,1.000000
gnp,9,24,3,3,1.000000
gnp,16,90,3,3,1.000000
gnp,16,30,7,7,1.000000
gnp,10,31,3,3,1.000000
gnp,15,44,6,6,1.000000
gnp,7,19,2,2,1.000000
gnp,12,16,7,7,1.000000
gnp,14,64,4,4,1.000000
gnp,14,45,4,4,1.000000
gnp,8,9,4,4,1.000000
gnp,10,33,3,3,1.000000
gnp,7,8,3,3,1.000000
gnp,8,21,3,3,1.000000
gnp,16,77,4,4,1.000000
gnp,14,37,5,5,1.000000
gnp,6,4,4,4,1.000000
gnp,13,36,5,5,1.000000
gnp,15,42,6,6,1.000000
gnp,7,12,3,3,1.000000
gnp,6,8,3,3,1.000000
gnp,15,30,6,6,1.000000
gnp,16,94,4,4,1.000000
gnp,16,58,5,5,1.000000
gnp,6,14,2,2,1.000000
gnp,13,15,8,8,1.000000
gnp,14,18,8,8,1.000000
gnp,11,38,3,3,1.000000
gnp,15,73,4,4,1.000000
gnp,12,34,4,4,1.000000
gnp,15,51,5,5,1.000000
gnp,6,11,2,2,1.000000
gnp,13,32,5,5,1.000000
gnp,11,12,7,7,1.000000
gnp,14,74,3,3,1.000000
gnp,6,5,3,3,1.000000
gnp,7,14,2,2,1.000000
gnp,7,8,4,4,1.000000
gnp,6,7,3,3,1.000000
gnp,8,21,2,2,1.000000
gnp,7,14,3,3,1.000000
gnp,15,26,6,6,1.000000
gnp,11,37,3,3,1.000000
gnp,10,26,4,4,1.000000
gnp,8,16,4,4,1.000000
gnp,7,13,3,3,1.000000
gnp,8,5,5,5,1.000000
gnp,15,42,5,5,1.000000
gnp,10,5,7,7,1.000000
gnp,14,23,7,7,1.000000
gnp,13,42,4,4,1.000000
gnp,14,53,4,4,1.000000
gnp,14,26,6,6,1.000000
gnp,16,69,4,4,1.000000
gnp,16,100,3,3,1.000000
gnp,13,52,4,4,1.000000
gnp,16,21,8,8,1.000000
gnp,7,17,2,2,1.000000
gnp,15,26,7,7,1.000000
gnp,10,27,3,3,1.000000
gnp,12,57,3,3,1.000000
gnp,13,43,5,5,1.000000
gnp,7,14,2,2,1.000000
gnp,16,77,4,4,1.000000
gnp,12,26,6,6,1.000000
gnp,12,25,5,5,1.000000
gnp,12,36,4,4,1.000000
gnp,11,19,6,6,1.000000
gnp,11,49,2,2,1.000000
gnp,7,5,5,5,1.000000
gnp,7,7,4,4,1.000000
gnp,8,15,3,3,1.000000
gnp,16,28,10,10,1.000000
gnp,16,95,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,11,10,7,7,1.000000
gnp,8,18,3,3,1.000000
gnp,7,10,3,3,1.000000
gnp,7,16,3,3,1.000000
gnp,12,45,3,3,1.000000
gnp,15,84,3,3,1.000000
gnp,6,3,5,5,1.000000
gnp,11,19,5,5,1.000000
gnp,8,13,4,4,1.000000
gnp,7,2,6,6,1.000000
gnp,7,13,3,3,1.000000
gnp,12,22,5,5,1.000000
gnp,8,10,4,4,1.000000
gnp,15,55,4,4,1.000000
gnp,8,6,6,6,1.000000
gnp,16,20,8,8,1.000000
gnp,16,51,6,6,1.000000
gnp,12,15,6,6,1.000000
gnp,11,25,4,4,1.000000
gnp,16,80,4,4,1.000000
gnp,14,59,4,4,1.000000
gnp,9,16,4,4,1.000000
gnp,6,6,3,3,1.000000
gnp,8,21,2,2,1.000000
gnp,11,14,6,6,1.000000
gnp,12,18,6,6,1.000000
gnp,14,59,4,4,1.000000
gnp,7,7,4,4,1.000000
gnp,12,7,8,8,1.000000
gnp,11,30,4,4,1.000000
gnp,16,44,6,6,1.000000
gnp,12,10,7,7,1.000000
gnp,8,20,3,3,1.000000
gnp,11,10,7,7,1.000000
gnp,9,11,4,4,1.000000
gnp,14,16,8,8,1.000000
gnp,11,18,5,5,1.000000
gnp,7,12,3,3,1.000000
gnp,14,45,4,4,1.000000
gnp,11,36,4,4,1.000000
gnp,9,7,6,6,1.000000
gnp,9,10,6,6,1.000000
gnp,16,25,7,7,1.000000
gnp,13,57,3,3,1.000000
gnp,16,97,3,3,1.000000
gnp,16,44,6,6,1.000000
gnp,7,12,4,4,1.000000
gnp,10,26,4,4,1.000000
gnp,14,14,9,9,1.000000
gnp,13,20,6,6,1.000000
gnp,10,7,6,6,1.000000
gnp,15,58,4,4,1.000000
gnp,13,49,3,3,1.000000
gnp,13,61,3,3,1.000000
gnp,11,28,4,4,1.000000
gnp,6,8,3,3,1.000000
gnp,7,13,2,2,1.000000
gnp,6,7,3,3,1.000000
gnp,13,45,4,4,1.000000
gnp,11,26,4,4,1.000000
gnp,12,34,4,4,1.000000
gnp,16,68,5,5,1.000000
gnp,7,7,4,4,1.000000
gnp,10,14,5,5,1.000000
gnp,11,11,6,6,1.000000
gnp,11,19,5,5,1.000000
gnp,8,20,2,2,1.000000
gnp,10,23,4,4,1.000000
gnp,8,16,3,3,1.000000
gnp,16,72,5,5,1.000000
gnp,6,5,4,4,1.000000
gnp,9,13,4,4,1.000000
gnp,9,8,5,5,1.000000
gnp,8,5,5,5,1.000000
gnp,14,60,4,4,1.000000
gnp,16,45,6,6,1.000000
gnp,15,37,6,6,1.000000
gnp,8,21,2,2,1.000000
gnp,13,16,7,7,1.000000
gnp,16,71,4,4,1.000000
gnp,15,41,6,6,1.000000
gnp,9,20,3,3,1.000000
gnp,13,61,2,2,1.000000
gnp,11,33,3,3,1.000000
gnp,13,49,5,5,1.000000
gnp,14,54,4,4,1.000000
gnp,9,28,3,3,1.000000
gnp,10,4,7,7,1.000000
gnp,11,36,3,3,1.000000
gnp,14,69,3,3,1.000000
gnp,7,18,2,2,1.000000
gnp,13,67,3,3,1.000000
gnp,12,11,8,8,1.000000
gnp,13,59,3,3,1.000000
gnp,12,9,7,7,1.000000
gnp,9,14,4,4,1.000000
gnp,11,17,5,5,1.000000
gnp,7,15,2,2,1.000000
gnp,8,4,5,5,1.000000
gnp,13,46,4,4,1.000000
gnp,13,32,5,5,1.000000
gnp,7,5,4,4,1.000000
gnp,8,15,3,3,1.000000
gnp,7,18,2,2,1.000000
gnp,10,7,6,6,1.000000
gnp,12,38,4,4,1.000000
gnp,7,4,5,5,1.000000
gnp,15,50,5,5,1.000000
gnp,8,9,4,4,1.000000
gnp,15,35,6,6,1.000000
gnp,8,19,3,3,1.000000
gnp,14,78,2,2,1.000000
gnp,14,43,5,5,1.000000
gnp,12,49,3,3,1.000000
gnp,16,56,5,5,1.000000
gnp,10,24,3,3,1.000000
gnp,7,14,2,2,1.000000
gnp,15,77,3,3,1.000000
gnp,8,6,5,5,1.000000
gnp,16,31,7,7,1.000000
gnp,13,42,5,5,1.000000
gnp,7,14,3,3,1.000000
gnp,6,4,3,3,1.000000
gnp,9,28,2,2,1.000000
gnp,10,25,4,4,1.000000
gnp,10,8,7,7,1.000000
gnp,10,27,3,3,1.000000
gnp,16,49,5,5,1.000000
gnp,11,30,4,4,1.000000
gnp,13,56,3,3,1.000000
gnp,11,48,2,2,1.000000
gnp,13,32,4,4,1.000000
gnp,7,13,2,2,1.000000
gnp,12,39,3,3,1.000000
gnp,14,34,5,5,1.000000
gnp,7,9,3,3,1.000000
gnp,10,21,4,4,1.000000
